sex,category,trip_profile,home_location,work_location
M,worker_3rd_sector,H - W - H,"(-8.623909409487856, 41.1633512603428)","(-8.613334469385677, 41.1695647207545)"
M,worker_3rd_sector,H - W - L - H,"(-8.668310447032235, 41.16671546291717)","(-8.674359594567042, 41.15459602627091)"
M,worker_3rd_sector,H - W - H,"(-8.6612442999039, 41.153598115806446)","(-8.5821356, 41.1742172)"
M,worker_3rd_sector,H - W - S - H,"(-8.640705080154426, 41.178744098072684)","(-8.60653902486976, 41.14930111056246)"
M,worker_3rd_sector,H - W - L - H,"(-8.62574836416611, 41.17661866990332)","(-8.6018861, 41.147053)"
H,worker_3rd_sector,H - W - L - H,"(-8.624839361611958, 41.17898407465058)","(-8.6437268, 41.1605052)"
M,worker_3rd_sector,H - W - H,"(-8.648280514603725, 41.159286559905574)","(-8.6045949, 41.1549876)"
M,worker_3rd_sector,H - W - H,"(-8.652738498797515, 41.16681168998362)","(-8.667556082137908, 41.16148777537669)"
M,worker_3rd_sector,H - W - H,"(-8.66417782496612, 41.15877504779814)","(-8.6291829, 41.1453788)"
M,reformed,H - L - S - H,"(-8.638342949300752, 41.1667157628681)",
M,worker_3rd_sector,H - W - S - H,"(-8.629444043755258, 41.16331585126301)","(-8.6660235, 41.1478703)"
M,worker_3rd_sector,H - W - S - H,"(-8.636713154049799, 41.17242794342674)","(-8.5876506, 41.1720903)"
H,worker_3rd_sector,H - W - S - L - H,"(-8.635235043946512, 41.17304027759323)","(-8.630490331118063, 41.15419105142448)"
M,worker_3rd_sector,H - W - H,"(-8.66589839921927, 41.153803395369096)","(-8.643997745159137, 41.164433978942014)"
M,reformed,H - M - H,"(-8.624553957081972, 41.17580298765374)",
M,worker_3rd_sector,H - W - H,"(-8.623847805635448, 41.17807787550555)","(-8.6555385, 41.1663731)"
M,worker_3rd_sector,H - W - H,"(-8.669783064854196, 41.155529228305284)","(-8.584544146347737, 41.17124141879255)"
M,worker_3rd_sector,H - W - S - L - H,"(-8.63770694197768, 41.1710355540759)","(-8.6529503, 41.1669707)"
M,reformed,H - S - H,"(-8.665510295727383, 41.176319297414615)",
M,worker_3rd_sector,H - W - L - H,"(-8.6637662366777, 41.164063331580195)","(-8.6156942, 41.1423583)"
M,worker_3rd_sector,H - W - H,"(-8.659791187078918, 41.174261351741634)","(-8.655330906624883, 41.15821266595081)"
M,worker_3rd_sector,H - W - H,"(-8.590529965654893, 41.16477843035141)","(-8.619086767086488, 41.147045429482375)"
M,worker_3rd_sector,H - W - H,"(-8.641164057520761, 41.159866868143475)","(-8.6256571, 41.1691761)"
M,worker_3rd_sector,H - W - H,"(-8.640539317085695, 41.17709933823301)","(-8.5864551, 41.1493709)"
M,worker_3rd_sector,H - W - H,"(-8.63193044318827, 41.16715631295854)","(-8.6552784, 41.1737405)"
M,reformed,H - S - M - H,"(-8.65459955826036, 41.163416081203124)",
M,worker_3rd_sector,H - W - H,"(-8.623825244137205, 41.17974049699268)","(-8.601750767513602, 41.15564721113444)"
M,worker_3rd_sector,H - W - H,"(-8.64736751014096, 41.152774514915436)","(-8.6060265, 41.159225)"
M,worker_3rd_sector,H - W - S - H,"(-8.632997165305978, 41.16994914720355)","(-8.6878721, 41.1715005)"
M,worker_3rd_sector,H - W - H,"(-8.632501360580163, 41.16599303564409)","(-8.598257174138036, 41.18183277494575)"
M,worker_3rd_sector,H - W - S - H,"(-8.637427905526742, 41.16254254061925)","(-8.577841489559411, 41.17198229294456)"
M,worker_3rd_sector,H - W - H,"(-8.643778671443169, 41.155776822891696)","(-8.6721308, 41.1501889)"
M,reformed,H - L - H,"(-8.662951485693256, 41.15272060726754)",
